Dataset,Seed,Train RMSE,Val RMSE,Test RMSE
FD001_linear_rul_no_norm_0,42,58.54706820886768,56.02898791077258,61.7254982270547
FD001_linear_rul_no_norm_0,1234,58.173947539279986,56.02924084293497,61.84631198809363
FD001_linear_rul_no_norm_0,999,58.1233467284255,56.028968051008945,61.74715727037238
linear_rul_1,42,26.313455288484047,24.10437262771531,33.96547199173932
linear_rul_1,1234,27.174892866549644,23.78853536679101,31.912235872152884
linear_rul_1,999,24.971985964595326,22.266870747317512,34.005674686754276
FD001_piecewise_rul_2,42,8.775126323187108,12.31746411614264,14.435583227420068
FD001_piecewise_rul_2,1234,12.885049366108113,12.454147306011823,13.750484251180113
FD001_piecewise_rul_2,999,13.947605256133903,12.76322140420285,12.726027393673876
FD001_low_variance_1,42,13.579105354565746,12.36410913535289,13.479033575347854
FD001_low_variance_1,1234,12.629775764375454,12.831093097220649,14.224104270398469
FD001_low_variance_1,999,14.323555927502445,12.972990375766383,13.255482199467629
FD001_drop_s14,42,14.296521177227289,12.674929534314588,12.76270365215242
FD001_drop_s14,1234,12.850806858688463,12.705404563185763,13.061100403782088
FD001_drop_s14,999,13.244422945945002,12.378359007669347,13.815037765054216
FD001_drop_s14_s11,42,14.647708890331552,12.745790388216536,13.439111482043643
FD001_drop_s14_s11,1234,13.346361420557148,12.495537322442505,13.579219003448525
FD001_drop_s14_s11,999,14.333395035307149,12.160247864633675,13.021364221949288
FD001_drop_s14_s12,42,13.683101308975807,12.902684053199918,13.79103424383634
FD001_drop_s14_s12,1234,13.51831140723539,13.497776923155726,14.487848005946667
FD001_drop_s14_s12,999,13.897913858097175,12.460917874024728,13.610994559033337
FD002_linear_rul_no_norm_0,42,59.392946201073066,53.48368406145981,66.6087980826688
FD002_linear_rul_no_norm_0,1234,59.0442451797225,53.59653516363074,65.6111434136777
FD002_linear_rul_no_norm_0,999,58.95447377777531,53.579210093928424,65.72948460853799
FD002_linear_rul_1,42,59.30882349180237,53.482733954752916,66.62112518431303
FD002_linear_rul_1,1234,29.6489788029881,28.0899631446549,36.73925490850454
FD002_linear_rul_1,999,59.10653584352256,53.626830037370084,65.41857464471543
FD002_piecewise_rul_2,42,14.772386211353512,15.370974468820991,15.586386273125964
FD002_piecewise_rul_2,1234,15.236936880925105,15.304648632396422,15.266524713968291
FD002_piecewise_rul_2,999,41.98962145684814,41.0660737315626,40.281970676755535
